Unnamed: 0,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp
1508,18th week,Maharashtra,Ahmednagar,Dengue,16,,17,4,2018,19.1627725,74.8580243,0.02182854143,5.0,315.6866666
1520,20th week,Maharashtra,Osmanabad,Dengue,11,,11,5,2018,18.16984395,76.11796321,0.002483980371,3.0,318.7933334
1587,24th week,Maharashtra,Sangli,Dengue,14,,19,5,2018,17.1726928,74.58676543,0.06999731627,7.0,312.956
1609,25th week,Maharashtra,Kolhapur,Dengue,5,1.0,10,6,2018,16.7028412,74.2405329,1.523413764,,309.11
1610,25th week,Maharashtra,Solapur,Dengue,7,1.0,19,5,2018,17.6912883,75.8841635,0.04581453271,4.0,314.572
1614,26th week,Maharashtra,Palghar,Dengue,10,,25,6,2018,19.684661,72.82491116,1.962859083,,306.46
1634,27th week,Maharashtra,Kolhapur,Dengue,69,,13,6,2018,16.7028412,74.2405329,1.33649679,6.0,299.66
1637,27th week,Maharashtra,Sangli,Dengue,10,1.0,25,6,2018,17.1726928,74.58676543,0.5813302829,,310.46
1638,27th week,Maharashtra,Satara,Dengue,26,,8,6,2018,17.63612885,74.29827808,0.6279875973,5.0,307.2266666
1666,29th week,Maharashtra,Gadchiroli,Malaria,15,1.0,14,7,2018,19.75907035,80.16228073,2.67674705,3.0,
1687,29th week,Maharashtra,Chandrapur,Dengue,35,,10,7,2018,20.0967555,79.50454752,3.618563972,5.0,
1688,29th week,Maharashtra,Chandrapur,Dengue,77,,15,5,2018,20.0967555,79.50454752,0.01662380146,6.0,318.176
1689,29th week,Maharashtra,Sangli,Dengue,13,,1,7,2018,17.1726928,74.58676543,0.1875941459,8.0,304.40000000000003
1719,31st week,Maharashtra,Kolhapur,Dengue,170,2.0,11,6,2018,16.7028412,74.2405329,1.483449569,6.0,307.16
1771,35th week,Maharashtra,Aurangabad,Dengue,4,1.0,2,9,2018,19.877263,75.3390241,0.1642335851,11.0,303.94
1783,35th week,Maharashtra,Satara,Dengue,13,,16,8,2018,17.63612885,74.29827808,0.201422166,4.0,301.86
1830,40th week,Maharashtra,Beed,Dengue,10,1.0,17,9,2018,18.9918442,75.909784,0.02392114196,12.0,310.38
1835,40th week,Maharashtra,Pune,Dengue,51,,23,9,2018,18.521428,73.8544541,0.1302601564,16.0,304.7333334
1837,40th week,Maharashtra,Satara,Dengue,39,,6,8,2018,17.63612885,74.29827808,0.1002392496,6.0,302.07
1838,40th week,Maharashtra,Wardha,Dengue,62,2.0,13,8,2018,20.82562315,78.6131455,0.8882798395,,
1871,44th week,Maharashtra,Amravati,Dengue,17,,25,10,2018,20.9521098,77.7333168,0.001005993219,10.0,310.9533334
1890,44th week,Maharashtra,Gadchiroli,Malaria,114,1.0,27,10,2018,19.75907035,80.16228073,0.005320785262,22.0,303.3566666
1907,46th week,Maharashtra,Nagpur,Dengue,15,,18,9,2018,21.1498134,79.0820556,0.02259216238,21.0,305.1633334
1909,46th week,Maharashtra,Nagpur,Dengue,18,1.0,23,8,2018,21.1498134,79.0820556,1.360221284,6.0,298.12
1910,46th week,Maharashtra,Nagpur,Dengue,52,1.0,11,9,2018,21.1498134,79.0820556,0.6023674312,20.0,301.61
1911,46th week,Maharashtra,Solapur,Dengue,16,1.0,25,10,2018,17.6912883,75.8841635,0.01100644841,7.0,313.58
1912,46th week,Maharashtra,Solapur,Dengue,7,1.0,31,10,2018,17.6912883,75.8841635,0.007979888095,,312.04400000000004
1917,47th week,Maharashtra,Nashik,Dengue,14,3.0,5,10,2018,20.0112475,73.7902364,0.199977881,20.0,304.168
1920,48th week,Maharashtra,Akola,Dengue,14,,30,11,2018,20.76181225,77.19211567,6.66e-05,8.0,307.208
1924,48th week,Maharashtra,Pune,Dengue,51,,4,10,2018,18.521428,73.8544541,0.3435667594,17.0,303.928
1936,50th week,Maharashtra,Akola,Dengue,8,,11,12,2018,20.76181225,77.19211567,0.01939602393,,303.944
1942,50th week,Maharashtra,Satara,Dengue,64,,29,9,2018,17.63612885,74.29827808,0.1610027176,,307.904
1951,1st week,Maharashtra,Sindhudurg,Malaria,2,1.0,2,1,2017,16.1357193,73.6522086,7.16e-05,17.0,303.80333340000004
1965,3rd week,Maharashtra,Sindhudurg,Malaria,1,1.0,20,1,2017,16.1357193,73.6522086,6.23e-05,14.0,302.504
2054,16th week,Maharashtra,Ratnagiri,Dengue,18,,11,4,2017,17.2826079,73.4569787,0.0006183158999,12.0,312.8466666
2149,23rd week,Maharashtra,Sindhudurg,Malaria,93,,1,6,2017,16.1357193,73.6522086,0.329188217,,303.93333340000004
2260,29th week,Maharashtra,Thane,Dengue,56,,2,5,2017,19.1943294,72.9701779,0.001320360972,7.0,318.0833334
2261,29th week,Maharashtra,Thane,Dengue,89,,29,4,2017,19.1943294,72.9701779,0.002979762189,7.0,318.384
2262,29th week,Maharashtra,Thane,Malaria,15,1.0,6,6,2017,19.1943294,72.9701779,0.3603882529,6.0,309.66400000000004
2263,29th week,Maharashtra,Thane,Malaria,26,1.0,11,2,2017,19.1943294,72.9701779,3.37e-05,7.0,306.53000000000003
2264,29th week,Maharashtra,Thane,Dengue,86,1.0,3,1,2017,19.1943294,72.9701779,7.53e-05,10.0,304.9466666
2279,30th week,Maharashtra,Gadchiroli,Malaria,127,1.0,20,7,2017,19.75907035,80.16228073,3.48293604,,
2323,32nd week,Maharashtra,Gadchiroli,Malaria,4,1.0,4,8,2017,19.75907035,80.16228073,0.2776156592,,302.99333340000004
2351,33rd week,Maharashtra,Satara,Dengue,26,,18,8,2017,17.63612885,74.29827808,0.1045410184,8.0,307.5133334
2402,35th week,Maharashtra,Sindhudurg,Malaria,11,,23,8,2017,16.1357193,73.6522086,1.135270023,13.0,298.35
2420,36th week,Maharashtra,Sangli,Dengue,11,,16,8,2017,17.1726928,74.58676543,0.1404045846,11.0,303.96
2422,36th week,Maharashtra,Kolhapur,Malaria,6,,25,7,2017,16.7028412,74.2405329,0.7284388265,7.0,298.91
2440,37th week,Maharashtra,Aurangabad,Dengue,18,,12,9,2017,19.877263,75.3390241,0.194173318,9.0,300.8533334
2453,38th week,Maharashtra,Nagpur,Dengue,5,,15,9,2017,21.1498134,79.0820556,1.03122049,13.0,300.6
2454,38th week,Maharashtra,Sindhudurg,Malaria,5,,16,9,2017,16.1357193,73.6522086,0.7414077077,11.0,302.0466666
2465,39th week,Maharashtra,Aurangabad,Dengue,25,,23,9,2017,19.877263,75.3390241,0.7067947874,19.0,301.12
2469,39th week,Maharashtra,Pune,Dengue,26,,12,5,2017,18.521428,73.8544541,0.08747467339,6.0,317.99
2470,39th week,Maharashtra,Pune,Dengue,8,1.0,29,7,2017,18.521428,73.8544541,0.8413701846,11.0,297.71
2471,39th week,Maharashtra,Pune,Dengue,6,1.0,29,8,2017,18.521428,73.8544541,0.7018421244,,300.3
2472,39th week,Maharashtra,Pune,Dengue,40,,19,8,2017,18.521428,73.8544541,0.2717663555,8.0,300.71
2475,39th week,Maharashtra,Pune,Dengue,13,2.0,28,9,2017,18.521428,73.8544541,0.2811133351,19.0,302.69333340000003
2484,40th week,Maharashtra,Nagpur,Dengue,529,4.0,4,10,2017,21.1498134,79.0820556,0.01103535607,25.0,303.94
2489,40th week,Maharashtra,Sangli,Dengue,58,,19,8,2017,17.1726928,74.58676543,0.1312180516,11.0,302.52
2510,41st week,Maharashtra,Jalgaon,Dengue,8,,30,9,2017,20.84288265,75.52612464,0.01302944824,,303.832
2511,41st week,Maharashtra,Thane,Dengue,7,1.0,23,9,2017,19.1943294,72.9701779,4.814444043,22.0,297.84000000000003
2512,41st week,Maharashtra,Thane,Malaria,1,1.0,14,9,2017,19.1943294,72.9701779,0.7747909967,,300.605
2523,42nd week,Maharashtra,Nashik,Dengue,7,1.0,1,10,2017,20.0112475,73.7902364,0.07059878798,19.0,303.25333340000003
2541,43rd week,Maharashtra,Beed,Dengue,50,2.0,19,10,2017,18.9918442,75.909784,0.1958354595,19.0,303.105
2552,44th week,Maharashtra,Beed,Dengue,19,1.0,28,10,2017,18.9918442,75.909784,0.007478004264,16.0,305.9033334
2553,44th week,Maharashtra,Parbhani,Dengue,14,,2,11,2017,19.29031365,76.60290343,0.003007790252,13.0,306.928
2570,45th week,Maharashtra,Satara,Dengue,23,,14,10,2017,17.63612885,74.29827808,0.7514111837,8.0,303.64
2571,45th week,Maharashtra,Satara,Dengue,28,,14,10,2017,17.63612885,74.29827808,0.7514111837,8.0,303.64
2572,45th week,Maharashtra,Thane,Dengue,24,3.0,9,10,2017,19.1943294,72.9701779,1.13654644,20.0,303.744
2586,46th week,Maharashtra,Ahmednagar,Dengue,10,1.0,8,11,2017,19.1627725,74.8580243,7.74e-05,,304.8166666
2591,47th week,Maharashtra,Kolhapur,Dengue,1,1.0,21,11,2017,16.7028412,74.2405329,0.05927338315,9.0,305.87
2597,47th week,Maharashtra,Kolhapur,Dengue,4,1.0,14,11,2017,16.7028412,74.2405329,2.57e-05,10.0,306.3333334
2599,47th week,Maharashtra,Pune,Dengue,3,1.0,6,11,2017,18.521428,73.8544541,6.91e-05,18.0,304.3333334
2600,47th week,Maharashtra,Pune,Dengue,1,1.0,28,10,2017,18.521428,73.8544541,0.0572075111,14.0,305.648
2602,47th week,Maharashtra,Satara,Dengue,18,,1,10,2017,17.63612885,74.29827808,0.2448074611,13.0,305.295
