Unnamed: 0,week_of_outbreak,state_ut,district,disease,cases,deaths,day,mon,year,Latitude,Longitude,rainfall,lai,temp_kelvin,temp_c,humidity,population,pop_density,urban_percent
500,44th week,Maharashtra,Gadchiroli,Malaria,1,1.0,1,11,2021,19.75907035,80.16228073,4.18e-05,,300.1733334,27.023333400000013,19.745403922629155,1072942,77,14.2
501,44th week,Maharashtra,Thane,Dengue,1,1.0,31,10,2021,19.1943294,72.9701779,0.0006784196466,,303.61333340000004,30.463333400000067,16.72827557781045,11060148,1157,72.1
513,45th week,Maharashtra,Satara,Dengue,14,,16,10,2021,17.63612885,74.29827808,0.08792806037,,304.776,31.626000000000033,16.79320153286427,3003922,287,29.7
518,46th week,Maharashtra,Raigad,Malaria,19,,11,11,2021,18.4928092,73.13807095,0.1463200544,21.0,302.16,29.010000000000048,19.821366981449522,2635394,368,36.9
523,47th week,Maharashtra,Thane,Dengue,1,1.0,1,11,2021,19.1943294,72.9701779,8.4e-05,,302.9566666,29.806666600000028,17.298326314879787,11060148,1157,72.1
534,48th week,Maharashtra,Sindhudurg,Malaria,4,,24,11,2021,16.1357193,73.6522086,0.312929701,,300.02,26.870000000000005,23.779612446824018,849651,168,22.4
549,50th week,Maharashtra,Satara,Dengue,13,,14,9,2021,17.63612885,74.29827808,0.6398437365,,300.14,26.99000000000001,27.748258364148526,3003922,287,29.7
565,4th week,Maharashtra,Kolhapur,Dengue,2,1.0,18,1,2020,16.7028412,74.2405329,6.03e-05,8.0,303.6533334,30.50333340000003,16.685397109750003,3876001,504,35.6
570,4th week,Maharashtra,Chandrapur,Malaria,23,1.0,16,1,2020,20.0967555,79.50454752,0.002697495648,,299.44,26.29000000000002,20.42337823690172,2204307,192,32.4
576,5th week,Maharashtra,Satara,Dengue,6,,18,1,2020,17.63612885,74.29827808,9.66e-05,8.0,304.48,31.33000000000004,15.958896619369867,3003922,287,29.7
577,5th week,Maharashtra,Thane,Dengue,6,,20,1,2020,19.1943294,72.9701779,0.0002913774879,11.0,301.43,28.28000000000003,18.64342862791345,11060148,1157,72.1
610,16th week,Maharashtra,Gadchiroli,Malaria,14,1.0,3,4,2020,19.75907035,80.16228073,0.03302828467,11.0,310.624,37.474000000000046,10.966406422590241,1072942,77,14.2
618,18th week,Maharashtra,Chandrapur,Malaria,35,2.0,7,4,2020,20.0967555,79.50454752,0.004322479902,8.0,313.0966666,39.946666600000015,8.434249895834899,2204307,192,32.4
627,21st week,Maharashtra,Chandrapur,Dengue,5,,23,5,2020,20.0967555,79.50454752,0.003793196938,,311.028,37.87800000000004,10.24679474282422,2204307,192,32.4
628,21st week,Maharashtra,Washim,Dengue,6,,22,4,2020,20.28741775,77.2369655,0.0002937726392,,321.2,48.05000000000001,1.2581444564111837,1197160,244,19.4
647,31st week,Maharashtra,Gadchiroli,Malaria,3,1.0,18,7,2020,19.75907035,80.16228073,0.6669874928,,,,17.609576433229666,1072942,77,14.2
648,31st week,Maharashtra,Gadchiroli,Malaria,2,1.0,19,7,2020,19.75907035,80.16228073,0.594522564,,300.64,27.49000000000001,26.743753257024828,1072942,77,14.2
649,31st week,Maharashtra,Gadchiroli,Malaria,5,1.0,26,7,2020,19.75907035,80.16228073,1.132628174,,,,17.609576433229666,1072942,77,14.2
656,36th week,Maharashtra,Wardha,Dengue,6,,7,8,2020,20.82562315,78.6131455,0.5529784197,4.0,302.74,29.590000000000032,24.379313736559396,1300774,187,31.8
658,40th week,Maharashtra,Amravati,Dengue,5,,24,9,2020,20.9521098,77.7333168,1.329761391,16.0,302.56,29.410000000000025,34.218271955956695,2888445,237,40.5
666,44th week,Maharashtra,Gadchiroli,Malaria,8,1.0,23,10,2020,19.75907035,80.16228073,0.06252674788,,302.28000000000003,29.130000000000052,18.671566145608313,1072942,77,14.2
681,48th week,Maharashtra,Osmanabad,Dengue,9,,11,11,2020,18.16984395,76.11796321,8.75e-05,7.0,307.676,34.52600000000001,13.148289350512322,1660311,219,25.7
683,48th week,Maharashtra,Pune,Dengue,16,1.0,18,11,2020,18.521428,73.8544541,0.001230150582,16.0,303.496,30.346000000000004,16.83833200900772,9429408,603,61.3
685,48th week,Maharashtra,Satara,Dengue,30,,4,11,2020,17.63612885,74.29827808,0.004428378293,10.0,305.744,32.59400000000005,14.901346982135241,3003922,287,29.7
687,48th week,Maharashtra,Wardha,Dengue,4,,22,10,2020,20.82562315,78.6131455,0.1725683766,,302.92,29.77000000000004,19.480159411121402,1300774,187,31.8
691,49th week,Maharashtra,Pune,Dengue,5,,1,6,2020,18.521428,73.8544541,0.03381872236,,315.49,42.34000000000003,6.697201218953562,9429408,603,61.3
692,49th week,Maharashtra,Satara,Dengue,27,,13,11,2020,17.63612885,74.29827808,0.0001970981421,9.0,305.1966666,32.04666660000004,15.32992784033968,3003922,287,29.7
725,2nd week,Maharashtra,Gadchiroli,Malaria,3,1.0,7,1,2019,19.75907035,80.16228073,4.79e-05,12.0,300.236,27.086000000000013,19.690372279856593,1072942,77,14.2
